"Album","Artist","Jacket"
"Waltzes","Chopin","https://i.discogs.com/DqRwRyp0Yh9IQ1b9b2f4MGJCY5UQnAX7AfXkHyZF-NA/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI4/MjM3NzMtMTMwMjY2/NDI2Mi5qcGVn.jpeg"
"Goodbye Yellow Brick Road","Elton John","https://i.discogs.com/dasg4J4U-RI26jZZkb88oNkzn5NzqRyCIrCWgV9uie0/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEz/NzIzMjI1LTE1NTk3/NjY2NDktNTI3Ni5q/cGVn.jpeg"
"Don't Ask My Neighbors","Raul de Souza","https://i.discogs.com/QFTdztYmw1_5cCfTjT5grcwhQO_q5AoTGDi-sBjreYw/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTE2/OTY3NzEtMTQ3NjM3/Mjk1NS02MzI5Lmpw/ZWc.jpeg"
"All Star Sextet","Charlie Parker","https://i.discogs.com/H-bPY8KQfUagd8Yfjehy_v08RmIAiSvVCFxQzS012DQ/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEz/MTk2MTcyLTE1NTUz/NDMyMDYtOTg0OC5q/cGVn.jpeg"
"Glorious Results Of A Misspent Youth","Joan Jett And The Blackhearts","https://i.discogs.com/yo5KQe2_kxaHE8nwS2JOYr_zY0LeTYHirBslO7Ai25Q/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTcz/OTgyNTItMTQ0MDYz/NjU2Ni0xODM4Lmpw/ZWc.jpeg"
"A Man, A Moon And A Maid / Cuban Yodelin' Man","Enric Madriguera And His Orchestra","https://i.discogs.com/uqnrTQwYdRJL-4SQ6gLCGVqDXtWCnRSojXLyarYrJIQ/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQy/MTE0MjAtMTM1ODY3/MjE5NS00NTI0Lmpw/ZWc.jpeg"
"Remain In Light","Talking Heads","https://i.discogs.com/rIfJToXKaTKrDlsFpDBF5IbYDhXE9Y61sDWY4UQHGV4/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEx/NjQ5MS0xNTQxOTQ1/NDcyLTQ3OTUuanBl/Zw.jpeg"
"Baltimore","Nina Simone","https://i.discogs.com/uWairYW4X-Zpj38cbZ17L_1PZhzJTVIEci26TqvXIro/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTg1/OTAzMjgtMTQ2NDY0/MTc4MC00NTM5Lmpw/ZWc.jpeg"
"Whitney Houston","Whitney Houston","https://i.discogs.com/aYAo48xEBSgi7kKlocxQtQp8JJ59561_1UTMj1SeX3w/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTY5/ODEyNzEtMTUxMzU2/OTQ5My01NjYxLmpw/ZWc.jpeg"
"The World Is A Ghetto","War","https://i.discogs.com/Osfxl8O2hjtziRjkXGt-4kV6ipPs4yfNUA6RcGTtwIU/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQy/ODA2Mi0xNTM2NjA5/ODk3LTc0MjUuanBl/Zw.jpeg"
