"Album","Artist","Jacket"
"Tosca","Dimitri Mitropoulos","https://i.discogs.com/s08-40DXU2brRh1vVzu6sWkGtnAhAbqUXaBDIiGr8vI/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTUw/NTQzMzUtMTU2NjUx/MTU3My00Nzc0Lmpw/ZWc.jpeg"
"Tosca","The Metropolitan Opera Orchestra","https://i.discogs.com/s08-40DXU2brRh1vVzu6sWkGtnAhAbqUXaBDIiGr8vI/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTUw/NTQzMzUtMTU2NjUx/MTU3My00Nzc0Lmpw/ZWc.jpeg"
"Tosca","Chorus","https://i.discogs.com/s08-40DXU2brRh1vVzu6sWkGtnAhAbqUXaBDIiGr8vI/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTUw/NTQzMzUtMTU2NjUx/MTU3My00Nzc0Lmpw/ZWc.jpeg"
"Messiah","George Frideric Handel","https://i.discogs.com/c8tqOU1RIsH9uh7KTu9eBNyY6ZMrdgFdScyvJX5duAc/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTkx/Nzg1MzEtMTQ3NjE0/NzcwMy0xODM2Lmpw/ZWc.jpeg"
"Messiah","Helen Donath","https://i.discogs.com/c8tqOU1RIsH9uh7KTu9eBNyY6ZMrdgFdScyvJX5duAc/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTkx/Nzg1MzEtMTQ3NjE0/NzcwMy0xODM2Lmpw/ZWc.jpeg"
"Messiah","Anna Reynolds","https://i.discogs.com/c8tqOU1RIsH9uh7KTu9eBNyY6ZMrdgFdScyvJX5duAc/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTkx/Nzg1MzEtMTQ3NjE0/NzcwMy0xODM2Lmpw/ZWc.jpeg"
"Messiah","Stuart Burrows","https://i.discogs.com/c8tqOU1RIsH9uh7KTu9eBNyY6ZMrdgFdScyvJX5duAc/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTkx/Nzg1MzEtMTQ3NjE0/NzcwMy0xODM2Lmpw/ZWc.jpeg"
"Messiah","Donald McIntyre","https://i.discogs.com/c8tqOU1RIsH9uh7KTu9eBNyY6ZMrdgFdScyvJX5duAc/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTkx/Nzg1MzEtMTQ3NjE0/NzcwMy0xODM2Lmpw/ZWc.jpeg"
"Messiah","John Alldis Choir","https://i.discogs.com/c8tqOU1RIsH9uh7KTu9eBNyY6ZMrdgFdScyvJX5duAc/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTkx/Nzg1MzEtMTQ3NjE0/NzcwMy0xODM2Lmpw/ZWc.jpeg"
"Messiah","The London Philharmonic Orchestra","https://i.discogs.com/c8tqOU1RIsH9uh7KTu9eBNyY6ZMrdgFdScyvJX5duAc/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTkx/Nzg1MzEtMTQ3NjE0/NzcwMy0xODM2Lmpw/ZWc.jpeg"
"Messiah","Karl Richter","https://i.discogs.com/c8tqOU1RIsH9uh7KTu9eBNyY6ZMrdgFdScyvJX5duAc/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTkx/Nzg1MzEtMTQ3NjE0/NzcwMy0xODM2Lmpw/ZWc.jpeg"
"Carols For Brass","The Galliard Brass Ensemble","https://i.discogs.com/m6cRZCGKPrajz674kgBwGB7IzIo0ULIyO6f5dM_V0PU/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTM5/ODEzMTYtMTM5MTk4/NTY4MC04MjkyLmpw/ZWc.jpeg"
"The Chopin Ballades","Chopin","https://i.discogs.com/M2HNAczgmGFVIXBviIt322N_K9AdAWJ9TEHK_kOPnc4/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTUw/MjM5MzAtMTM4MjQy/NjA2MS0zNTgxLmpw/ZWc.jpeg"
"The Chopin Ballades","Rubinstein","https://i.discogs.com/M2HNAczgmGFVIXBviIt322N_K9AdAWJ9TEHK_kOPnc4/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTUw/MjM5MzAtMTM4MjQy/NjA2MS0zNTgxLmpw/ZWc.jpeg"
"Four Freshmen And 5 Trombones","The Four Freshmen","https://i.discogs.com/SuEhnV83YXLfQixg3q5heOFbjkbt4i6Li_Kp7Sf8ljc/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTE4/NDk0NzgtMTI4MTU4/NTU2NS5qcGVn.jpeg"
"Music For Christmas","Eastman French Horn Choir","https://i.discogs.com/8hclDhm51aexZVrHfEoUaV0Wod-AWy884XbjNDvXFNM/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI1/MjQ1MzUtMTI4ODcx/NTI1Ni5qcGVn.jpeg"
"Music For Christmas","Eastman Trombone Choir","https://i.discogs.com/8hclDhm51aexZVrHfEoUaV0Wod-AWy884XbjNDvXFNM/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI1/MjQ1MzUtMTI4ODcx/NTI1Ni5qcGVn.jpeg"
"At Newport","Dave Brubeck","https://i.discogs.com/Xn17knX2sSR6lk4TNK9f_yBboIRg3gs1RXb2voXxXQ0/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTU1/MTkyMDQtMTM5NTQ4/NjU2NC00MDE4Lmpw/ZWc.jpeg"
"At Newport","Jay","https://i.discogs.com/Xn17knX2sSR6lk4TNK9f_yBboIRg3gs1RXb2voXxXQ0/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTU1/MTkyMDQtMTM5NTQ4/NjU2NC00MDE4Lmpw/ZWc.jpeg"
"At Newport","Kai","https://i.discogs.com/Xn17knX2sSR6lk4TNK9f_yBboIRg3gs1RXb2voXxXQ0/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTU1/MTkyMDQtMTM5NTQ4/NjU2NC00MDE4Lmpw/ZWc.jpeg"
"Brass Construction","Brass Construction","https://i.discogs.com/U4ODIT1AIjTXn5iQRiFd_1cZWxYBp5u5jWNjgJW0V2E/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEw/NzAxMTkyLTE1MDI3/NTMxODQtMzg5Ni5q/cGVn.jpeg"
"The Blues - Hot And Cold","The Bob Brookmeyer Quartet","https://i.discogs.com/tumVj7GPx9309IAPACl1R5y3LOkzA0bwBqSwzEEzFhc/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTgw/MTUzNTYtMTQ1MzUy/ODU3Mi0zMTAxLmpw/ZWc.jpeg"
"Brass Impact","The Brass Choir","https://i.discogs.com/oxgu18rcmJ31xK_roldMQeKc3lksK82CH8GMra_IITU/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTIz/MTU1NjktMTI5MDMx/OTUzNy5qcGVn.jpeg"
"Brass Impact","Warren Kime","https://i.discogs.com/oxgu18rcmJ31xK_roldMQeKc3lksK82CH8GMra_IITU/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTIz/MTU1NjktMTI5MDMx/OTUzNy5qcGVn.jpeg"
"Piano Sonatas Nos. 1 & 3","Anton Rubinstein","https://i.discogs.com/jC4X-mUnZRO6jmsprvM6UWbGuFqfejC_CokZgyeneog/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEz/Njc2MTkzLTE1NTg4/MDcwODktOTE1MS5q/cGVn.jpeg"
"Piano Sonatas Nos. 1 & 3","Leslie Howard","https://i.discogs.com/jC4X-mUnZRO6jmsprvM6UWbGuFqfejC_CokZgyeneog/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEz/Njc2MTkzLTE1NTg4/MDcwODktOTE1MS5q/cGVn.jpeg"
"Grieg Piano Concerto and Favorite Encores","Artur Rubinstein","https://i.discogs.com/Xew5crCYU0pc6Lsoe3gtaIG_8mX-BPteJzyDEp9XlQk/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEx/MTU4MzA2LTE1MTA5/Mzk1MTctMzM5NS5q/cGVn.jpeg"
"Grieg Piano Concerto and Favorite Encores","Alfred Wallenstein","https://i.discogs.com/Xew5crCYU0pc6Lsoe3gtaIG_8mX-BPteJzyDEp9XlQk/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEx/MTU4MzA2LTE1MTA5/Mzk1MTctMzM5NS5q/cGVn.jpeg"
"Grieg Piano Concerto and Favorite Encores","Grieg","https://i.discogs.com/Xew5crCYU0pc6Lsoe3gtaIG_8mX-BPteJzyDEp9XlQk/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEx/MTU4MzA2LTE1MTA5/Mzk1MTctMzM5NS5q/cGVn.jpeg"
"Grieg Piano Concerto and Favorite Encores","Falla","https://i.discogs.com/Xew5crCYU0pc6Lsoe3gtaIG_8mX-BPteJzyDEp9XlQk/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEx/MTU4MzA2LTE1MTA5/Mzk1MTctMzM5NS5q/cGVn.jpeg"
"Grieg Piano Concerto and Favorite Encores","Liszt","https://i.discogs.com/Xew5crCYU0pc6Lsoe3gtaIG_8mX-BPteJzyDEp9XlQk/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEx/MTU4MzA2LTE1MTA5/Mzk1MTctMzM5NS5q/cGVn.jpeg"
"Grieg Piano Concerto and Favorite Encores","Schumann","https://i.discogs.com/Xew5crCYU0pc6Lsoe3gtaIG_8mX-BPteJzyDEp9XlQk/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEx/MTU4MzA2LTE1MTA5/Mzk1MTctMzM5NS5q/cGVn.jpeg"
"Grieg Piano Concerto and Favorite Encores","Prokofieff","https://i.discogs.com/Xew5crCYU0pc6Lsoe3gtaIG_8mX-BPteJzyDEp9XlQk/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEx/MTU4MzA2LTE1MTA5/Mzk1MTctMzM5NS5q/cGVn.jpeg"
"Grieg Piano Concerto and Favorite Encores","Villa-Lobos","https://i.discogs.com/Xew5crCYU0pc6Lsoe3gtaIG_8mX-BPteJzyDEp9XlQk/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEx/MTU4MzA2LTE1MTA5/Mzk1MTctMzM5NS5q/cGVn.jpeg"
"Rachmaninoff Concerto No. 2 - Liszt Concerto No. 1","Rubinstein","https://i.discogs.com/zkKT5qI-NvDgzZ7aH-Ft_TYGG8CFBd5z1tx2BueXOs8/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQw/NDIzMjAtMTM1MzQw/NDUzOC03Mzc5Lmpw/ZWc.jpeg"
"Rachmaninoff Concerto No. 2 - Liszt Concerto No. 1","Rachmaninoff","https://i.discogs.com/zkKT5qI-NvDgzZ7aH-Ft_TYGG8CFBd5z1tx2BueXOs8/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQw/NDIzMjAtMTM1MzQw/NDUzOC03Mzc5Lmpw/ZWc.jpeg"
"Rachmaninoff Concerto No. 2 - Liszt Concerto No. 1","Reiner","https://i.discogs.com/zkKT5qI-NvDgzZ7aH-Ft_TYGG8CFBd5z1tx2BueXOs8/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQw/NDIzMjAtMTM1MzQw/NDUzOC03Mzc5Lmpw/ZWc.jpeg"
"Rachmaninoff Concerto No. 2 - Liszt Concerto No. 1","Chicago Symphony","https://i.discogs.com/zkKT5qI-NvDgzZ7aH-Ft_TYGG8CFBd5z1tx2BueXOs8/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQw/NDIzMjAtMTM1MzQw/NDUzOC03Mzc5Lmpw/ZWc.jpeg"
"Rachmaninoff Concerto No. 2 - Liszt Concerto No. 1","Liszt","https://i.discogs.com/zkKT5qI-NvDgzZ7aH-Ft_TYGG8CFBd5z1tx2BueXOs8/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQw/NDIzMjAtMTM1MzQw/NDUzOC03Mzc5Lmpw/ZWc.jpeg"
"Rachmaninoff Concerto No. 2 - Liszt Concerto No. 1","Wallenstein","https://i.discogs.com/zkKT5qI-NvDgzZ7aH-Ft_TYGG8CFBd5z1tx2BueXOs8/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQw/NDIzMjAtMTM1MzQw/NDUzOC03Mzc5Lmpw/ZWc.jpeg"
"Rachmaninoff Concerto No. 2 - Liszt Concerto No. 1","RCA Symphony","https://i.discogs.com/zkKT5qI-NvDgzZ7aH-Ft_TYGG8CFBd5z1tx2BueXOs8/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQw/NDIzMjAtMTM1MzQw/NDUzOC03Mzc5Lmpw/ZWc.jpeg"
"The Concerto","Arthur Rubinstein","https://i.discogs.com/hmf7fnNQvHBM0F_tkyxTUg3f5idtPB5b0ujSmp9pXDE/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTgw/MDk1MDctMTQ1MzQw/NTY4MS03NTk5Lmpw/ZWc.jpeg"
"The Concerto","Reiner","https://i.discogs.com/hmf7fnNQvHBM0F_tkyxTUg3f5idtPB5b0ujSmp9pXDE/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTgw/MDk1MDctMTQ1MzQw/NTY4MS03NTk5Lmpw/ZWc.jpeg"
"The Concerto","Chicago Symphony","https://i.discogs.com/hmf7fnNQvHBM0F_tkyxTUg3f5idtPB5b0ujSmp9pXDE/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTgw/MDk1MDctMTQ1MzQw/NTY4MS03NTk5Lmpw/ZWc.jpeg"
"The Concerto","Wallenstein","https://i.discogs.com/hmf7fnNQvHBM0F_tkyxTUg3f5idtPB5b0ujSmp9pXDE/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTgw/MDk1MDctMTQ1MzQw/NTY4MS03NTk5Lmpw/ZWc.jpeg"
"The Concerto","RCA Victor Symphony","https://i.discogs.com/hmf7fnNQvHBM0F_tkyxTUg3f5idtPB5b0ujSmp9pXDE/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTgw/MDk1MDctMTQ1MzQw/NTY4MS03NTk5Lmpw/ZWc.jpeg"
"The Concerto","Grieg","https://i.discogs.com/hmf7fnNQvHBM0F_tkyxTUg3f5idtPB5b0ujSmp9pXDE/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTgw/MDk1MDctMTQ1MzQw/NTY4MS03NTk5Lmpw/ZWc.jpeg"
"The Concerto","Liszt","https://i.discogs.com/hmf7fnNQvHBM0F_tkyxTUg3f5idtPB5b0ujSmp9pXDE/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTgw/MDk1MDctMTQ1MzQw/NTY4MS03NTk5Lmpw/ZWc.jpeg"
"The Concerto","Rachmaninoff","https://i.discogs.com/hmf7fnNQvHBM0F_tkyxTUg3f5idtPB5b0ujSmp9pXDE/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTgw/MDk1MDctMTQ1MzQw/NTY4MS03NTk5Lmpw/ZWc.jpeg"
"The World's Favorite Chopin","Artur Rubinstein","https://i.discogs.com/XpCyu8S6h03ArgmJ1kzid4MdLxCps9qZfml1lMNJQI4/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTM5/ODM2NDQtMTYxMDQ4/MzE4My00OTAyLmpw/ZWc.jpeg"
"The Bessie Smith Story - Volume 4","Bessie Smith","https://i.discogs.com/SC04lwNpNwFmRyxd7OmqO4SwYCAWMyApnshjSySWRj0/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTYx/MDEyODAtMTQzMTI5/MDczMi0zMDE2Lmpw/ZWc.jpeg"
"Oh, Good Grief!","Vince Guaraldi","https://i.discogs.com/fo9KV6l8dI7CX_40gtS6mvM3D3eUI7MbV4_YIZR3o0g/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTgw/MzI0Ny0xMTYwMzUz/OTcyLmpwZWc.jpeg"
"Byrdland","Charlie Byrd","https://i.discogs.com/KiLj-iD0WMgtds710kOIrcakfDe9ll2DN5LF6X8pngo/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTIx/MjcwNDYtMTQ0ODUx/NzMyMi0xMjQ4Lmpw/ZWc.jpeg"
"Nina Simone And Piano!","Nina Simone","https://i.discogs.com/IRdxmIEoUXx5UYke6Lmy-w8kgrks5KEfEv-CMJeaKZI/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEy/MDk3NTcyLTE1Mjgy/MzM5MzYtNzI1Mi5q/cGVn.jpeg"
"The Dizzy Gillespie Big 7 At The Montreux Jazz Festival 1975","Dizzy Gillespie","https://i.discogs.com/4tlZ1z4mhaP4LH5Sa_F9vrj3KmDQx-bdw40QPubAlaE/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQw/MjYxNjktMTM1Mjc3/NzU0My0yODcwLmpw/ZWc.jpeg"
"Shout","Devo","https://i.discogs.com/wZSNCABbT7lH98ZCwgbSiH5pWMFCBJ6kKJLwuwMA2S8/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQ5/NDQ2LTE1NTQ2Njgz/ODMtNjA2MS5qcGVn.jpeg"
"Wings Over America","Wings (2)","https://i.discogs.com/JRNsuVLN5anixkKPug2TBmUCnpTd2yy_tUdwlj3aeK0/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTg2/ODM3Mi0xMjg0Njc3/NDQwLmpwZWc.jpeg"
"A Streetcar Named Desire","Alex North","https://i.discogs.com/PcA8h23pzfne0O0tB_MxKI31M3sleDTtTcvvnVfFNUk/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTcz/ODEwMDItMTQ1ODY2/NDI5MC05ODgxLmpw/ZWc.jpeg"
"A Streetcar Named Desire","Ray Heindorf","https://i.discogs.com/PcA8h23pzfne0O0tB_MxKI31M3sleDTtTcvvnVfFNUk/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTcz/ODEwMDItMTQ1ODY2/NDI5MC05ODgxLmpw/ZWc.jpeg"
"Takin' It To The Streets","The Doobie Brothers","https://i.discogs.com/xszM4DoSBQLssPo-JDQvpZkQazO_rX0zs8XzUEEsr0w/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEz/MjgxNDEtMTYxNTM0/MDcxMS04MjQwLmpw/ZWc.jpeg"
"Bookends","Simon & Garfunkel","https://i.discogs.com/PO23vjCIoNZisAkJcLPB52rl_TW_aAfJ00D2yTx_gWY/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEz/MjQ1MzA1LTE1NTkx/NDk1MjEtNTMxMC5q/cGVn.jpeg"
"30","Adele (3)","https://i.discogs.com/V2T_Bj75ldzloGMRteOMOIPH3Umlks92iuXvQL06yqk/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTIx/MDQ3MTYxLTE2NDUw/NjQzMjYtMTczMy5q/cGVn.jpeg"
"The Kids Are Alright","The Who","https://i.discogs.com/Lonl645wyFCKv7HifMJlxVdoBf07wfGJUuw97JYM3w8/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTE4/MDE1NjQtMTI2NzA5/NjAzMC5qcGVn.jpeg"
"Rock N Roll Animal","Lou Reed","https://i.discogs.com/51ue5QwFJpgUaO_5T6rpeGvmKUtx1mMdyWc0xmZDAhA/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEx/ODcwMTItMTYzNTYx/MTI4OC00OTYzLmpw/ZWc.jpeg"
"Physical Graffiti","Led Zeppelin","https://i.discogs.com/k05NUYbPoA4c0vg-k4s8tXhTpKfn-W2fYyxK2li01dA/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQ4/MjMzMTQtMTQ1OTk2/NDMxOC0xNDA2Lmpw/ZWc.jpeg"
"Cheap Trick","Cheap Trick","https://i.discogs.com/hFL1ZDXFwvxd_BRFXFxDmJntx6kanRf7WpbQGFpkM9U/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTY4/MzE4MC0xMzMxMDgw/NzIzLmpwZWc.jpeg"
"The Bessie Smith Story - Volume 2","Bessie Smith","https://i.discogs.com/KoqEt3yuaqHm2dfK7QL37PBmWIsQkkYMJx_BnueLEck/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEy/OTQxODA0LTE1NDQ5/ODk0NDQtMzIzMi5q/cGVn.jpeg"
"Brass Construction II","Brass Construction","https://i.discogs.com/tzwPrDJhNnzw_JuLXHHxB2pxFtwbkJsMiEROj1WyhXE/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTc5/OTc5OS0xMzA2NDIz/MTI1LmpwZWc.jpeg"
"The Bessie Smith Story - Volume 1","Bessie Smith","https://i.discogs.com/QZIvYHp4ojhJ23lVHH-ciG_ip60u6WCjfIzzIiHly70/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEz/MTM2NDAyLTE1NDg2/OTUzNTAtNDMzMy5q/cGVn.jpeg"
"The Bessie Smith Story - Volume 1","Louis Armstrong","https://i.discogs.com/QZIvYHp4ojhJ23lVHH-ciG_ip60u6WCjfIzzIiHly70/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEz/MTM2NDAyLTE1NDg2/OTUzNTAtNDMzMy5q/cGVn.jpeg"
"The Bessie Smith Story - Volume 3","Bessie Smith","https://i.discogs.com/1HrjZRtxGRiLeAObUzgt_mV3EYDuIzfKKOFT9ElCqyQ/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTg1/MDg2NDMtMTQ5OTgz/NjQyOC04NTI1Lmpw/ZWc.jpeg"
"The World's Greatest Blues Singer","Bessie Smith","https://i.discogs.com/Z1iCb_jIgf2foS5AkJ5ZEnJHe-iUMUn0twhN7aRBWqg/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTIy/NDcwMzItMTQyMTMw/NzUwMi00MTE5Lmpw/ZWc.jpeg"
"Behold The Mighty Army","New Birth","https://i.discogs.com/a88hqrQT5U4JkjIj6BIlrf7Fps0LQ3OS_ROv2zrp3yM/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQz/MzYyMC0xMjQzMzQ3/NzU2LmpwZWc.jpeg"
"Behold The Mighty Army","Leslie Wilson","https://i.discogs.com/a88hqrQT5U4JkjIj6BIlrf7Fps0LQ3OS_ROv2zrp3yM/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQz/MzYyMC0xMjQzMzQ3/NzU2LmpwZWc.jpeg"
"Why Do Fools Fall In Love","Diana Ross","https://i.discogs.com/PaLbsm2jyreUdqC5JH5FnYxSk_vfPN3kCCl86ohfXqQ/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQ1/NzE2My0xNTUzMjc4/MjkyLTM0NjMuanBl/Zw.jpeg"
"Have Trumpet, Will Excite!","Dizzy Gillespie","https://i.discogs.com/5KuYJ0N9MmsOt0U3NWQMRKxcNBm08fdGnO7l-tfm7ls/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTcy/MDIzNzQtMTQ4NzYy/NzYxMy05MDI5Lmpw/ZWc.jpeg"
"Dizzy In Paris","Dizzy Gillespie","https://i.discogs.com/grukxQluSXiv5iKnMsBp9y5oxTesAYjBfWpl3yMVn1Q/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQ2/OTIyNTgtMTM3MzE5/MjA0Ny04Njk0Lmpw/ZWc.jpeg"
"West Side Story","Oscar Peterson Trio","https://i.discogs.com/h-nwgnHFDVD9CbDau3iw15vK0GUI01E9rRmG8bLOGM4/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTM3/Nzc2NS0xNjA2NDk4/NDg4LTgzMTQuanBl/Zw.jpeg"
"We Insist! Max Roach's Freedom Now Suite","Max Roach","https://i.discogs.com/CNpCQ7HovobZ3rPpyBZ7PmHAhyjUOAxQ101-lstYrD4/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTIy/MDA4NDYtMTQxNTYz/NjkyOS0zMzg4Lmpw/ZWc.jpeg"
"Mercy, Mercy, Mercy! - Live At ""The Club""","The Cannonball Adderley Quintet","https://i.discogs.com/Ikl4TEbVpSTwbNz6niMuLRKc_YvTIbT5mVSDUFLyUhI/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTE1/MjM2MTktMTU5Mzg0/NDQ0Mi04Mjk4Lmpw/ZWc.jpeg"
