"ItemTitle","IMDBid","ItemYear","ItemRuntime","Rating","Rated.Date","Decade","Seen","Service","Type"
"The Bridge on the River Kwai","tt0050212",1957,"161 min","7","Rated on 16 Sep 2021","1950s","Yes",NA,NA
"Aguirre, the Wrath of God","tt0068182",1972,"95 min",NA,NA,"1970s","No","Prime","Feature Film"
"On the Waterfront","tt0047296",1954,"108 min",NA,NA,"1950s","No",NA,NA
"Saturday Night Fever","tt0076666",1977,"118 min","7","Rated on 09 Jul 2021","1970s","Yes",NA,NA
"Bicycle Thieves","tt0040522",1948,"89 min",NA,NA,"1940s","No",NA,NA
"Singin' in the Rain","tt0045152",1952,"103 min","6","Rated on 04 Nov 2021","1950s","Yes",NA,NA
"Goldfinger","tt0058150",1964,"110 min","6","Rated on 09 Jul 2021","1960s","Yes",NA,NA
"Jalsaghar","tt0051792",1958,"95 min",NA,NA,"1950s","No",NA,NA
"The Bride of Frankenstein","tt0026138",1935,"75 min","9","Rated on 11 Jul 2021","1930s","Yes",NA,NA
"It's a Wonderful Life","tt0038650",1946,"130 min","8","Rated on 09 Jul 2021","1940s","Yes","Prime","Feature Film"
"Double Indemnity","tt0036775",1944,"107 min",NA,NA,"1940s","No",NA,NA
"Psycho","tt0054215",1960,"109 min","8","Rated on 09 Jul 2021","1960s","Yes",NA,NA
"Pinocchio","tt0032910",1940,"88 min","7","Rated on 09 Jul 2021","1940s","Yes",NA,NA
"Blow-Up","tt0060176",1966,"111 min",NA,NA,"1960s","No",NA,NA
"Trouble in Paradise","tt0023622",1932,"83 min",NA,NA,"1930s","No",NA,NA
"Touch of Evil","tt0052311",1958,"95 min",NA,NA,"1950s","No",NA,NA
"Nights of Cabiria","tt0050783",1957,"110 min",NA,NA,"1950s","No",NA,NA
"Bonnie and Clyde","tt0061418",1967,"111 min","8","Rated on 17 Sep 2021","1960s","Yes",NA,NA
"Picnic at Hanging Rock","tt0073540",1975,"115 min",NA,NA,"1970s","No",NA,NA
"Battleship Potemkin","tt0015648",1925,"66 min",NA,NA,"1920s","No",NA,NA
"Yankee Doodle Dandy","tt0035575",1942,"126 min",NA,NA,"1940s","No",NA,NA
"Detour","tt0037638",1945,"68 min",NA,NA,"1940s","No","Prime","Feature Film"
"Gone with the Wind","tt0031381",1939,"238 min",NA,NA,"1930s","No",NA,NA
"Pandora's Box","tt0018737",1929,"109 min",NA,NA,"1920s","No",NA,NA
"Raging Bull","tt0081398",1980,"129 min",NA,NA,"1980s","No",NA,NA
"Citizen Kane","tt0033467",1941,"119 min","8","Rated on 09 Jul 2021","1940s","Yes",NA,NA
"Swing Time","tt0028333",1936,"103 min",NA,NA,"1930s","No",NA,NA
"Wings of Desire","tt0093191",1987,"128 min",NA,NA,"1980s","No",NA,NA
"Red River","tt0040724",1948,"133 min",NA,NA,"1940s","No",NA,NA
"Woman in the Dunes","tt0058625",1964,"147 min",NA,NA,"1960s","No",NA,NA
"Written on the Wind","tt0049966",1956,"99 min",NA,NA,"1950s","No",NA,NA
"A Woman Under the Influence","tt0072417",1974,"155 min",NA,NA,"1970s","No",NA,NA
"Day for Night","tt0070460",1973,"116 min",NA,NA,"1970s","No",NA,NA
"City Lights","tt0021749",1931,"87 min",NA,NA,"1930s","No",NA,NA
"Days of Heaven","tt0077405",1978,"94 min",NA,NA,"1970s","No",NA,NA
"The Lady Eve","tt0033804",1941,"94 min","6","Rated on 09 Jul 2021","1940s","Yes",NA,NA
"Gates of Heaven","tt0077598",1978,"85 min",NA,NA,"1970s","No",NA,NA
"My Darling Clementine","tt0038762",1946,"97 min",NA,NA,"1940s","No",NA,NA
"Sweet Smell of Success","tt0051036",1957,"96 min",NA,NA,"1950s","No",NA,NA
"Notorious","tt0038787",1946,"102 min","7","Rated on 09 Jul 2021","1940s","Yes",NA,NA
"Nosferatu","tt0013442",1922,"94 min","8","Rated on 17 Sep 2021","1920s","Yes",NA,NA
"Pickpocket","tt0053168",1959,"76 min",NA,NA,"1950s","No",NA,NA
"Body Heat","tt0082089",1981,"113 min",NA,NA,"1980s","No",NA,NA
"M","tt0022100",1931,"99 min","9","Rated on 09 Jul 2021","1930s","Yes",NA,NA
"The General","tt0017925",1926,"67 min",NA,NA,"1920s","No","Prime","Feature Film"
"Le Samouraï","tt0062229",1967,"101 min",NA,NA,"1960s","No",NA,NA
"The Big Sleep","tt0038355",1946,"114 min","7","Rated on 09 Jul 2021","1940s","Yes",NA,NA
"Being There","tt0078841",1979,"130 min",NA,NA,"1970s","No",NA,NA
"The Exterminating Angel","tt0056732",1962,"95 min",NA,NA,"1960s","No",NA,NA
"Ali: Fear Eats the Soul","tt0071141",1974,"92 min",NA,NA,"1970s","No",NA,NA
"Walkabout","tt0067959",1971,"100 min",NA,NA,"1970s","No",NA,NA
"Floating Weeds","tt0053390",1959,"119 min",NA,NA,"1950s","No",NA,NA
"2001: A Space Odyssey","tt0062622",1968,"149 min","10","Rated on 09 Jul 2021","1960s","Yes",NA,NA
"The Godfather","tt0068646",1972,"175 min","8","Rated on 09 Jul 2021","1970s","Yes",NA,NA
"The Passion of Joan of Arc","tt0019254",1928,"114 min",NA,NA,"1920s","No",NA,NA
"L'Avventura","tt0053619",1960,"144 min",NA,NA,"1960s","No",NA,NA
"La Dolce Vita","tt0053779",1960,"174 min",NA,NA,"1960s","No",NA,NA
"The Wizard of Oz","tt0032138",1939,"102 min","10","Rated on 09 Jul 2021","1930s","Yes",NA,NA
"The Third Man","tt0041959",1949,"93 min","8","Rated on 01 Jan 2022","1940s","Yes",NA,NA
"The Night of the Hunter","tt0048424",1955,"92 min","9","Rated on 09 Jul 2021","1950s","Yes","Prime","Feature Film"
"Monsieur Hulot's Holiday","tt0046487",1953,"83 min",NA,NA,"1950s","No",NA,NA
"A Hard Day's Night","tt0058182",1964,"87 min","8","Rated on 09 Jul 2021","1960s","Yes",NA,NA
"Vertigo","tt0052357",1958,"128 min","8","Rated on 09 Jul 2021","1950s","Yes",NA,NA
"Ikiru","tt0044741",1952,"143 min",NA,NA,"1950s","No",NA,NA
"E.T. the Extra-Terrestrial","tt0083866",1982,"115 min","8","Rated on 09 Jul 2021","1980s","Yes",NA,NA
"Casablanca","tt0034583",1942,"102 min","9","Rated on 09 Jul 2021","1940s","Yes",NA,NA
