"ItemTitle","IMDBid","ItemYear","ItemRuntime","Rating","Rated.Date","Decade","Seen","Service","Type"
"The Double Life of Véronique","tt0101765",1991,"98 min",NA,NA,"1990s","No",NA,NA
"Waking Life","tt0243017",2001,"99 min",NA,NA,"2000s","No",NA,NA
"Secrets & Lies","tt0117589",1996,"136 min",NA,NA,"1990s","No",NA,NA
"After Hours","tt0088680",1985,"97 min",NA,NA,"1980s","No",NA,NA
"Mon Oncle Antoine","tt0067439",1971,"104 min",NA,NA,"1970s","No",NA,NA
"The Silence","tt0057611",1963,"96 min",NA,NA,"1960s","No",NA,NA
"Magnolia","tt0175880",1999,"188 min",NA,NA,"1990s","No",NA,NA
"A Prairie Home Companion","tt0420087",2006,"105 min",NA,NA,"2000s","No",NA,NA
"The Last Temptation of Christ","tt0095497",1988,"164 min",NA,NA,"1980s","No",NA,NA
"Baraka","tt0103767",1992,"96 min",NA,NA,"1990s","No","Prime","Documentary"
"The Godfather: Part II","tt0071562",1974,"202 min","9","Rated on 09 Jul 2021","1970s","Yes",NA,NA
"Adaptation.","tt0268126",2002,"115 min","5","Rated on 09 Jul 2021","2000s","Yes",NA,NA
"L.A. Confidential","tt0119488",1997,"138 min",NA,NA,"1990s","No",NA,NA
"Mephisto","tt0082736",1981,"144 min",NA,NA,"1980s","No",NA,NA
"Dog Day Afternoon","tt0072890",1975,"125 min",NA,NA,"1970s","No",NA,NA
"Through a Glass Darkly","tt0055499",1961,"90 min",NA,NA,"1960s","No",NA,NA
"Cool Hand Luke","tt0061512",1967,"127 min","7","Rated on 09 Jul 2021","1960s","Yes",NA,NA
"The Triumph of the Will","tt0025913",1935,"110 min",NA,NA,"1930s","No",NA,NA
"Rocco and His Brothers","tt0054248",1960,"179 min",NA,NA,"1960s","No",NA,NA
"My Man Godfrey","tt0028010",1936,"94 min",NA,NA,"1930s","No","Prime","Feature Film"
"Johnny Guitar","tt0047136",1954,"110 min",NA,NA,"1950s","No",NA,NA
"Ordet","tt0048452",1955,"126 min",NA,NA,"1950s","No",NA,NA
"Diva","tt0082269",1981,"117 min",NA,NA,"1980s","No",NA,NA
"Vengeance Is Mine","tt0079182",1979,"139 min",NA,NA,"1970s","No",NA,NA
"What Ever Happened to Baby Jane?","tt0056687",1962,"134 min","9","Rated on 09 Jul 2021","1960s","Yes",NA,NA
"The Best Years of Our Lives","tt0036868",1946,"170 min",NA,NA,"1940s","No","Prime","Feature Film"
"Mishima: A Life in Four Chapters","tt0089603",1985,"120 min",NA,NA,"1980s","No",NA,NA
"Winter Light","tt0057358",1963,"81 min",NA,NA,"1960s","No",NA,NA
"The Enigma of Kaspar Hauser","tt0071691",1974,"110 min",NA,NA,"1970s","No",NA,NA
"Blade Runner","tt0083658",1982,"117 min","9","Rated on 14 Jul 2021","1980s","Yes",NA,NA
"Sansho the Bailiff","tt0047445",1954,"124 min",NA,NA,"1950s","No",NA,NA
"El Topo","tt0067866",1970,"125 min",NA,NA,"1970s","No",NA,NA
"Babel","tt0449467",2006,"143 min","6","Rated on 09 Jul 2021","2000s","Yes",NA,NA
"The Great Dictator","tt0032553",1940,"125 min",NA,NA,"1940s","No",NA,NA
"Werckmeister Harmonies","tt0249241",2000,"145 min",NA,NA,"2000s","No",NA,NA
"Pan's Labyrinth","tt0457430",2006,"118 min","9","Rated on 09 Jul 2021","2000s","Yes",NA,NA
"Ace in the Hole","tt0043338",1951,"111 min",NA,NA,"1950s","No",NA,NA
"Killer of Sheep","tt0076263",1978,"80 min",NA,NA,"1970s","No",NA,NA
