"ItemYear","Y","N"
1927,0,1
1929,0,1
1930,0,3
1931,5,3
1932,1,3
1933,1,7
1934,1,6
1935,3,6
1936,2,7
1937,3,11
1938,2,7
1939,7,10
1940,6,12
1941,6,9
1942,4,8
1943,1,6
1944,3,8
1945,1,10
1946,6,11
1947,1,8
1948,2,13
1949,2,10
1950,2,8
1951,5,7
1952,1,12
1953,4,18
1954,4,8
1955,8,14
1956,3,11
1957,5,10
1958,4,10
1959,5,14
1960,5,11
1961,2,10
1962,6,10
1963,3,11
1964,6,11
1965,3,9
1966,2,8
1967,6,8
1968,4,9
1969,3,17
1970,1,18
1971,3,17
1972,4,13
1973,4,15
1974,5,9
1975,3,8
1976,3,8
1977,3,7
1978,1,14
1979,2,15
1980,2,18
1981,3,9
1982,5,12
1983,4,13
1984,5,11
1985,6,13
1986,4,13
1987,3,16
1988,8,18
1989,4,11
1990,4,11
1991,4,9
1992,3,12
1993,3,6
1994,2,14
1995,5,5
1996,3,9
1997,2,9
1998,4,6
1999,4,4
2000,5,6
2001,9,6
2002,6,4
