"Submitting country","Film title used in nomination","Original title","Language(s)","Director(s)","Result","Result [6]","Title used in nomination","Ceremony"
"Romania","A Woman for a Season","Răutăciosul adolescent","Romanian","Gheorghe Vitanidis","Not nominated",NA,NA,"/w"
"Soviet Union","The Brothers Karamazov","Братья Карамазовы","Russian","Kirill Lavrov, Ivan Pyryev and Mikhail Ulyanov","Nominated",NA,NA,"/w"
"Spain","La Celestina","La Celestina","Spanish","César Fernández Ardavín","Not nominated",NA,NA,"/w"
"Sweden","Ådalen 31","Ådalen '31","Swedish","Bo Widerberg","Nominated",NA,NA,"/w"
"Yugoslavia","Battle of Neretva","Bitka na Neretvi","Serbian","Veljko Bulajić","Nominated",NA,NA,"/w"
"Belgium","Paix sur les champs","Paix sur les champs","French","Jacques Boigelot","Nominated",NA,NA,"/w"
"Brazil","Mortal Sin","Pecado Mortal","Portuguese","Miguel Faria Jr.","Not nominated",NA,NA,"/w"
"Denmark","Re. Lone","Ang. Lone","Danish","Franz Ernst","Not nominated",NA,NA,"/w"
"Egypt","The Night of Counting the Years","المومياء","Arabic","Shadi Abdel Salam","Not nominated",NA,NA,"/w"
"France","Hoa-Binh","Hoa-Binh","French","Raoul Coutard","Nominated",NA,NA,"/w"
"West Germany","o.k.","o.k.","German","Michael Verhoeven","Not nominated",NA,NA,"/w"
"Hungary","Lovefilm","Szerelmesfilm","Hungarian","István Szabó","Not nominated",NA,NA,"/w"
"Italy","Investigation of a Citizen Above Suspicion","Indagine su un cittadino al di sopra di ogni sospetto","Italian","Elio Petri","Won Academy Award",NA,NA,"/w"
"Japan","The Scandalous Adventures of Buraikan","無頼漢","Japanese","Masahiro Shinoda","Not nominated",NA,NA,"/w"
"Poland","The Taste of Black Earth","Sól ziemi czarnej","Polish","Kazimierz Kutz","Not nominated",NA,NA,"/w"
"Spain","Tristana","Tristana","Spanish","Luis Buñuel","Nominated",NA,NA,"/w"
"Sweden","A Swedish Love Story","En Kärlekshistoria","Swedish","Roy Andersson","Not nominated",NA,NA,"/w"
"Switzerland","First Love","Erste Liebe","German","Maximilian Schell","Nominated",NA,NA,"/w"
"Brazil","Pra Quem Fica, Tchau","Pra Quem Fica, Tchau","Portuguese","Reginaldo Faria","Not nominated",NA,NA,"/w"
"Bulgaria","Porcupines Are Born Without Bristles","Таралежите се раждат без бодли","Bulgarian","Dimitar Petrov","Not nominated",NA,NA,"/w"
"Canada","Mon oncle Antoine","Mon oncle Antoine","French","Claude Jutra","Not nominated",NA,NA,"/w"
"Denmark","The Missing Clerk","Forsvundne fuldmægtig","Danish","Gert Fredholm","Not nominated",NA,NA,"/w"
"Egypt","A Woman and a Man","امرأة و رجل","Arabic","Houssam Eddine Mostafa","Not nominated",NA,NA,"/w"
"France","Ramparts of Clay","Remparts d'argile","French","Jean-Louis Bertuccelli","Not nominated",NA,NA,"/w"
"West Germany","The Castle","Das Schloß","German","Rudolf Noelte","Not nominated",NA,NA,"/w"
"Hungary","Love","Szerelem","Hungarian","Károly Makk","Not nominated",NA,NA,"/w"
"India","Reshma Aur Shera","रेशमा और शेरा","Hindi","Sunil Dutt","Not nominated",NA,NA,"/w"
"Israel","The Policeman","Ha-Shoter Azulai","Hebrew","Ephraim Kishon","Nominated",NA,NA,"/w"
"Italy","The Garden of the Finzi-Continis","Il Giardino dei Finzi-Contini","Italian","Vittorio De Sica","Won Academy Award",NA,NA,"/w"
"Japan","Dodes'ka-den","どですかでん","Japanese","Akira Kurosawa","Nominated",NA,NA,"/w"
"Mexico","El Topo","El Topo","Spanish","Alejandro Jodorowsky","Not nominated",NA,NA,"/w"
"Netherlands","Mira","Mira","Dutch","Fons Rademakers","Not nominated",NA,NA,"/w"
"Poland","Family Life","Życie rodzinne","Polish","Krzysztof Zanussi","Not nominated",NA,NA,"/w"
"Romania","The Last Crusade","Mihai Viteazul","Romanian","Sergiu Nicolaescu","Not nominated",NA,NA,"/w"
"Soviet Union","Tchaikovsky","Чайкoвский","Russian","Igor Talankin","Nominated",NA,NA,"/w"
"Spain","Marta","...dopo di che, uccide il maschio e lo divora","Spanish","José Antonio Nieves Conde","Not nominated",NA,NA,"/w"
"Sweden","The Emigrants","Utvandrarna","Swedish","Jan Troell","Nominated",NA,NA,"/w"
"Yugoslavia","Black Seed","Црно семе","Macedonian","Kiril Cenevski","Not nominated",NA,NA,"/w"
"Belgium","The Lonely Killers","Les tueurs fous","French","Boris Szulzinger","Not nominated",NA,NA,"/w"
"Brazil","How Tasty Was My Little Frenchman","Como Era Gostoso o Meu Francês","Portuguese, French, Tupi","Nelson Pereira dos Santos","Not nominated",NA,NA,"/w"
"Bulgaria","The Goat Horn","Козият рог","Bulgarian","Metodi Andonov","Not nominated",NA,NA,"/w"
"Canada","The True Nature of Bernadette","La Vraie nature de Bernadette","French","Gilles Carle","Not nominated",NA,NA,"/w"
