"Submitting country","Film title used in nomination","Original title","Language(s)","Director(s)","Result","Result [6]","Title used in nomination","Ceremony"
"Burkina Faso","Yaaba","Yaaba[2]","More","Idrissa Ouedraogo","Not nominated",NA,NA,"/w"
"Canada","Jesus of Montreal","Jésus de Montréal","French","Denys Arcand","Nominated",NA,NA,"/w"
"China","The Birth of New China","开国大典","Chinese","Qiankuan Li","Not nominated",NA,NA,"/w"
"Cuba","Supporting Roles","Papeles secundarios","Spanish","Orlando Rojas","Not nominated",NA,NA,"/w"
"Czechoslovakia","A Hoof Here, a Hoof There","Kopytem sem, kopytem tam","Czech","Věra Chytilová","Not nominated",NA,NA,"/w"
"Denmark","Memories of a Marriage","Danser med Regitze","Danish","Kaspar Rostrup","Nominated",NA,NA,"/w"
"France","Camille Claudel","Camille Claudel[2]","French","Bruno Nuytten","Nominated",NA,NA,"/w"
"West Germany","Spider's Web","Das Spinnenetz","German","Bernhard Wicki","Not nominated",NA,NA,"/w"
"Greece","Landscape in the Mist","Τοπίο στην ομίχλη","Greek","Theo Angelopoulos","Not nominated",NA,NA,"/w"
"Hong Kong","Painted Faces","七小福","Cantonese","Alex Law","Not nominated",NA,NA,"/w"
"Hungary","My 20th Century","Az Én XX. századom","Hungarian","Ildikó Enyedi","Not nominated",NA,NA,"/w"
"Iceland","Under the Glacier","Kristnihald undir jökli","Icelandic","Guðný Halldórsdóttir","Not nominated",NA,NA,"/w"
"India","Parinda","परिंदा","Hindi","Vidhu Vinod Chopra","Not nominated",NA,NA,"/w"
"Indonesia","Tjoet Nja' Dhien","Tjoet Nja' Dhien","Indonesian","Eros Djarot","Not nominated",NA,NA,"/w"
"Israel","One of Us","אחד משלנו","Hebrew","Uri Barbash","Not nominated",NA,NA,"/w"
"Italy","Cinema Paradiso","Nuovo Cinema Paradiso","Italian","Giuseppe Tornatore","Won Academy Award",NA,NA,"/w"
"Japan","Rikyu","利休","Japanese","Hiroshi Teshigahara","Not nominated",NA,NA,"/w"
"Netherlands","Polonaise","Leedvermaak","Dutch","Frans Weisz","Not nominated",NA,NA,"/w"
"Norway","A Handful of Time","En håndfull tid","Norwegian","Martin Asphaug","Not nominated",NA,NA,"/w"
"Poland","Kornblumenblau","Kornblumenblau[3]","Polish","Leszek Wosiewicz","Not nominated",NA,NA,"/w"
"Portugal","The Cannibals","Os Canibais","Portuguese","Manoel de Oliveira","Not nominated",NA,NA,"/w"
"Puerto Rico","Santiago, the Story of his New Life","Lo que le pasó a Santiago","Spanish","Jacobo Morales","Nominated",NA,NA,"/w"
"Romania","Those Who Pay With Their Lives","Cei care plătesc cu viaţa","Romanian","Șerban Marinescu","Not nominated",NA,NA,"/w"
"South Africa","Mapantsula","Mapantsula","Zulu","Oliver Schmitz","Not nominated[4]",NA,NA,"/w"
"Soviet Union","Zerograd","Город Зеро","Russian","Karen Shakhnazarov","Not nominated",NA,NA,"/w"
"Spain","Love, Hate and Death","Montoyas y Tarantos","Spanish","Vicente Escrivá","Not nominated",NA,NA,"/w"
"Sweden","The Women on the Roof","Kvinnor på taket","Swedish","Carl-Gustav Nykvist","Not nominated",NA,NA,"/w"
"Switzerland","My Dear Subject","Mon cher sujet","French","Anne-Marie Miéville","Not nominated",NA,NA,"/w"
"Taiwan","A City of Sadness","悲情城市","Chinese, Cantonese, Mandarin, Shanghainese","Hou Hsiao-hsien","Not nominated",NA,NA,"/w"
"Thailand","The Elephant Keeper","คนเลี้ยงช้าง","Thai","Chatrichalerm Yukol","Not nominated",NA,NA,"/w"
"Turkey","Don't Let Them Shoot the Kite","Uçurtmayi Vurmasinlar","Turkish","Tunç Başaran","Not nominated",NA,NA,"/w"
"Yugoslavia","Time of the Gypsies","Dom za vešanje","Romany, Serbian","Emir Kusturica","Not nominated",NA,NA,"/w"
"Argentina","I, the Worst of All","Yo, la peor de todas","Spanish","María Luisa Bemberg","Not nominated",NA,NA,"/w"
"Austria","Requiem for Dominic","Requiem für Dominik","German","Robert Dornhelm","Not nominated",NA,NA,"/w"
"Bulgaria","Margarit and Margarita","Маргарит и Маргарита (Margarit i Margarita)","Bulgarian","Nikolai Volev","Not nominated",NA,NA,"/w"
"Canada","An Imaginary Tale","Une histoire inventée","French","André Forcier","Not nominated",NA,NA,"/w"
"Chile","The Moon in the Mirror","La Luna en el espejo","Spanish","Silvio Caiozzi","Not nominated",NA,NA,"/w"
"China","Ju Dou","菊豆 (Jú Dòu)","Mandarin","Zhang YimouYang Fengliang","Nominated",NA,NA,"/w"
"Cuba","The Beauty of the Alhambra","La Bella del Alhambra","Spanish","Enrique Pineda Barnet","Not nominated",NA,NA,"/w"
"Czechoslovakia","Vojtech, Called the Orphan","Vojtěch, řečený sirotek","Czech","Zdeněk Tyc","Not nominated",NA,NA,"/w"
"Denmark","Dance of the Polar Bears","Lad isbjørnene danse","Danish","Birger Larsen","Not nominated",NA,NA,"/w"
"Egypt","Alexandria Again and Forever","اسكندرية كمان وكمان (Eskendereyya kaman we kaman)","Arabic","Youssef Chahine","Not nominated",NA,NA,"/w"
"Finland","The Winter War","Talvisota","Finnish","Pekka Parikka","Not nominated",NA,NA,"/w"
"France","Cyrano de Bergerac","Cyrano de Bergerac","French","Jean-Paul Rappeneau","Nominated",NA,NA,"/w"
"Germany","The Nasty Girl","Das schreckliche Mädchen","German","Michael Verhoeven","Nominated",NA,NA,"/w"
"Greece","Love Under the Date-Tree","Έρωτας στη χουρμαδιά (Erotas sti hourmadia)","Greek","Stavros Tsiolis","Not nominated",NA,NA,"/w"
"Hong Kong","Eight Taels of Gold","八兩金 (Ba ya jin)","Cantonese","Mabel Cheung","Not nominated",NA,NA,"/w"
"Hungary","Little but Tough","Kicsi, de nagyon erös","Hungarian","Ferenc Grunwalsky","Not nominated",NA,NA,"/w"
"Iceland","The Adventures of Paper Peter","Pappírs Pési","Icelandic","Ari Kristinsson","Not nominated",NA,NA,"/w"
"India","Anjali","அஞ்சலி (Anjali)","Tamil","Mani Ratnam","Not nominated",NA,NA,"/w"
"Indonesia","My Sky, My Home","Langitku rumahku","Indonesian","Slamet Rahardjo","Not nominated",NA,NA,"/w"
"Israel","The Lookout","שורו (Shuroo)","Hebrew","Savi Gabizon","Not nominated",NA,NA,"/w"
"Italy","Open Doors","Porte aperte","Italian","Gianni Amelio","Nominated",NA,NA,"/w"
"Japan","The Sting of Death","死の棘 (Shi no toge)","Japanese","Kōhei Oguri","Not nominated",NA,NA,"/w"
"Mexico","Cabeza de Vaca","Cabeza de Vaca","Spanish","Nicolás Echevarría","Not nominated",NA,NA,"/w"
"Netherlands","Evenings","De Avonden","Dutch","Rudolf van den Berg","Not nominated",NA,NA,"/w"
"Norway","Herman","Herman","Norwegian","Erik Gustavson","Not nominated",NA,NA,"/w"
"Peru","Fallen from Heaven","Caídos del cielo","Spanish","Francisco José Lombardi","Not nominated",NA,NA,"/w"
"Poland","Korczak","Korczak","Polish","Andrzej Wajda","Not nominated",NA,NA,"/w"
"Portugal","The King's Trial","O Processo do Rei","Portuguese","João Mário Grilo","Not nominated",NA,NA,"/w"
"Romania","Carnival Scenes","De ce trag clopotele, Mitica?","Romanian","Lucian Pintilie","Not nominated",NA,NA,"/w"
"South Korea","Mayumi","마유미 (Mayumi)","Korean","Shin Sang-ok","Not nominated",NA,NA,"/w"
"Soviet Union","Taxi Blues","Такси-блюз (Taksi-Blyuz)","Russian","Pavel Lungin","Not nominated",NA,NA,"/w"
"Spain","¡Ay Carmela!","¡Ay, Carmela!","Spanish","Carlos Saura","Not nominated",NA,NA,"/w"
"Sweden","Good Evening, Mr. Wallenberg","God afton, Herr Wallenberg","Swedish","Kjell Grede","Not nominated",NA,NA,"/w"
"Switzerland","Journey of Hope","Reise der Hoffnung (Umuda Yolculuk)","German, Turkish","Xavier Koller","Won Academy Award",NA,NA,"/w"
"Taiwan","Song of the Exile","客途秋恨 (Ke tu qiu hen)","Cantonese","Ann Hui","Not nominated",NA,NA,"/w"
"Thailand","Song for Chao Phraya","น้องเมีย (Nawng mia)","Thai","Chatrichalerm Yukol","Not nominated",NA,NA,"/w"
"Yugoslavia","Time of Miracles","Време чуда (Vreme čuda)","Serbo-Croatian","Goran Paskaljević","Not nominated",NA,NA,"/w"
"Algeria","Cheb","Cheb","French, Arabic","Rachid Bouchareb","Not nominated",NA,NA,"/w"
"Argentina","The Tombs","Las tumbas","Spanish","Javier Torre","Not nominated",NA,NA,"/w"
"Austria","I Love Vienna","I Love Vienna","German, Persian","Houchang Allahyari","Not nominated",NA,NA,"/w"
"Belgium","Toto the Hero","Toto le héros","French","Jaco Van Dormael","Not nominated",NA,NA,"/w"
"Bulgaria","The Well","Кладенецът","Bulgarian","Docho Bodzhakov","Not nominated",NA,NA,"/w"
"Canada","A Bullet in the Head","A Bullet in the Head","Invented","Attila Bertalan","Not nominated",NA,NA,"/w"
"Chile","La Frontera","La Frontera","Spanish","Ricardo Larraín","Not nominated",NA,NA,"/w"
"China","The Spring Festival","过年","Mandarin Chinese","Huang Jianzhong","Not nominated",NA,NA,"/w"
"Colombia","Confessing to Laura","Confesión a Laura","Spanish","Jaime Osorio Gómez","Not nominated",NA,NA,"/w"
"Cuba","Hello Hemingway","Hello Hemingway","Spanish","Fernando Perez","Not nominated",NA,NA,"/w"
"Czechoslovakia","The Elementary School","Obecná skola","Czech","Jan Svěrák","Nominated",NA,NA,"/w"
"Denmark","The Great Day on the Beach","Den store badedag","Danish","Stellan Olsson","Not nominated",NA,NA,"/w"
"France","Van Gogh","Van Gogh","French","Maurice Pialat","Not nominated",NA,NA,"/w"
"Hong Kong","Raise the Red Lantern","大紅燈籠高高掛","Mandarin Chinese","Zhang Yimou","Nominated",NA,NA,"/w"
"Hungary","Brats","Félálom","Hungarian","János Rózsa","Not nominated",NA,NA,"/w"
"Iceland","Children of Nature","Börn náttúrunnar","Icelandic","Friðrik Þór Friðriksson","Nominated",NA,NA,"/w"
"India","Henna","हिना","Hindi, Urdu","Randhir Kapoor","Not nominated",NA,NA,"/w"
"Israel","Beyond the Sea","מעבר לים","Hebrew","Jacob Goldwasser","Not nominated",NA,NA,"/w"
"Italy","Mediterraneo","Mediterraneo","Italian Greek","Gabriele Salvatores","Won Academy Award",NA,NA,"/w"
"Japan","Rhapsody in August","八月の狂詩曲","Japanese","Akira Kurosawa","Not nominated",NA,NA,"/w"
"Mexico","Homework","La Tarea","Spanish","Jaime Humberto Hermosillo","Not nominated",NA,NA,"/w"
"Netherlands","Eline Vere","Eline Vere","Dutch","Harry Kümel","Not nominated",NA,NA,"/w"
"Norway","Frida – Straight from the Heart","Frida - med hjertet i hånden","Norwegian","Berit Nesheim","Not nominated",NA,NA,"/w"
"Peru","Alias 'La Gringa'","Alias 'La Gringa'","Spanish","Alberto Durant","Not nominated",NA,NA,"/w"
"Poland","The Double Life of Véronique","Podwójne życie Weroniki (La double vie de Véronique)","Polish, French","Krzysztof Kieślowski","Not nominated",NA,NA,"/w"
"Portugal","O Sangue","O Sangue","Portuguese","Pedro Costa","Not nominated",NA,NA,"/w"
"Soviet Union","Get Thee Out","Изыди!","Russian","Dmitriy Astrakhan","Not nominated",NA,NA,"/w"
"Spain","High Heels","Tacones lejanos","Spanish","Pedro Almodóvar","Not nominated",NA,NA,"/w"
"Sweden","The Ox","Oxen","Swedish","Sven Nykvist","Nominated",NA,NA,"/w"
"Switzerland","Der Berg","Der Berg","German","Markus Imhoof","Not nominated",NA,NA,"/w"
"Taiwan","A Brighter Summer Day","牯嶺街少年殺人事件","Mandarin Chinese","Edward Yang","Not nominated",NA,NA,"/w"
"United Kingdom","Lost in Siberia","Затерянный в Сибири","Russian","Alexander Mitta","Not nominated",NA,NA,"/w"
"Venezuela","Jericho","Jericó","Spanish","Luis Alberto Lamata","Not nominated",NA,NA,"/w"
"Yugoslavia","The Original of the Forgery","Original falsifikata","Serbian","Dragan Kresoja","Not nominated",NA,NA,"/w"
"Argentina","The Dark Side of the Heart","El lado oscuro del corazón","Spanish","Eliseo Subiela","Not nominated",NA,NA,"/w"
"Austria","Benny's Video","Bennys Video","German","Michael Haneke","Not nominated",NA,NA,"/w"
"Belgium","Daens","Daens","Dutch, French","Stijn Coninx","Nominated",NA,NA,"/w"
"Canada","Léolo","Léolo","French","Jean-Claude Lauzon","Not nominated",NA,NA,"/w"
"China","The Story of Qiu Ju","秋菊打官司","Chinese","Zhang Yimou","Not nominated",NA,NA,"/w"
"Croatia","Story from Croatia","Priča iz Hrvatske","Croatian","Krsto Papić","Not nominated",NA,NA,"/w"
"Cuba","Adorable Lies","Adorables Mentiras","Spanish","Gerardo Chijona","Not nominated",NA,NA,"/w"
"Denmark","Sofie","Sofie","Danish","Liv Ullmann","Not nominated",NA,NA,"/w"
"Estonia","Those Old Love Letters","Need vanad armastuskirjad","Estonian","Mati Põldre","Not nominated",NA,NA,"/w"
"France","Indochina","Indochine","French","Régis Wargnier","Won Academy Award",NA,NA,"/w"
"Germany","Schtonk!","Schtonk!","German","Helmut Dietl","Nominated",NA,NA,"/w"
"Hungary","Sweet Emma, Dear Böbe","Édes Emma, drága Böbe - vázlatok, aktok","Hungarian","István Szabó","Not nominated",NA,NA,"/w"
"Iceland","As in Heaven","Svo á jörðu sem á himni","Icelandic","Kristín Jóhannesdóttir","Not nominated",NA,NA,"/w"
"India","Thevar Magan","தேவர் மகன்","Tamil","Bharathan","Not nominated",NA,NA,"/w"
"Indonesia","Mer's Lips","Bibir Mer","Indonesian","Arifin C. Noer","Not nominated",NA,NA,"/w"
"Israel","Life According to Agfa","החיים על פי אגפה","Hebrew","Assi Dayan","Not nominated",NA,NA,"/w"
"Italy","The Stolen Children","Il Ladro di Bambini","Italian","Gianni Amelio","Not nominated",NA,NA,"/w"
"Japan","The Oil-Hell Murder","女殺し油地獄","Japanese","Hideo Gosha","Not nominated",NA,NA,"/w"
"Kazakhstan","The Fall of Otrar","Гибел Отрара (Отырардың күйреуі)","Kazakh, Mandarin, Mongolian","Ardak Amirkulov","Not nominated",NA,NA,"/w"
"Latvia","The Child of Man","Cilvēka bērns","Latvian","Jānis Streičs","Not nominated",NA,NA,"/w"
"Mexico","Like Water for Chocolate","Como agua para chocolate","Spanish","Alfonso Arau","Not nominated",NA,NA,"/w"
"Netherlands","The Northerners","De Noorderlingen","Dutch","Alex van Warmerdam","Not nominated",NA,NA,"/w"
"Norway","The Warrior's Heart","Krigerens hjerte","Norwegian","Leidulv Risan","Not nominated",NA,NA,"/w"
"Poland","All That Really Matters","Wszystko, co najważniejsze","Polish","Robert Gliński","Not nominated",NA,NA,"/w"
"Portugal","Day of Despair","O dia do desespero","Portuguese","Manoel de Oliveira","Not nominated",NA,NA,"/w"
"Romania","Luxury Hotel","Hotel de Lux","Romanian","Dan Pița","Not nominated",NA,NA,"/w"
"Russia","Close to Eden","Урга","Russian","Nikita Mikhalkov","Nominated",NA,NA,"/w"
"Spain","The Fencing Master","El Maestro de esgrima","Spanish","Pedro Olea","Not nominated",NA,NA,"/w"
"Sweden","House of Angels","Änglagård","Swedish","Colin Nutley","Not nominated",NA,NA,"/w"
"Switzerland","Off Season","Hors saison","French","Daniel Schmid","Not nominated",NA,NA,"/w"
"Taiwan","Peach Blossom Land","暗戀桃花源","Chinese","Stan Lai","Not nominated",NA,NA,"/w"
"Turkey","Piano Piano Kid","Piano Piano Bacaksız","Turkish","Tunç Başaran","Not nominated",NA,NA,"/w"
"Uruguay","A Place in the World","Un lugar en el mundo","Spanish","Adolfo Aristarain","Nominated and Disqualified",NA,NA,"/w"
"Argentina","Gatica, el mono","Gatica, el mono","Spanish","Leonardo Favio","Not nominated[4]",NA,NA,"/w"
"Austria","Indien","Indien","German","Paul Harather","Not nominated",NA,NA,"/w"
"Belgium","Just Friends","Just Friends","Dutch, French","Marc-Henri Wajnberg","Not nominated[5]",NA,NA,"/w"
"Bulgaria","Canary Season","Сезонът на канарчетата","Bulgarian","Evgeni Mihailov","Not nominated",NA,NA,"/w"
"Canada","The Sex of the Stars","Le sexe des étoiles","French","Paule Baillargeon","Not nominated[6]",NA,NA,"/w"
"Chile","Johnny 100 Pesos","Johnny cien pesos","Spanish","Gustavo Graef-Marino","Not nominated[7]",NA,NA,"/w"
"China","Country Teachers","凤凰琴","Mandarin Chinese","He Qun","Not nominated[8]",NA,NA,"/w"
"Croatia","Countess Dora","Kontesa Dora","Serbo-Croatian","Zvonimir Berković","Not nominated",NA,NA,"/w"
"Denmark","Black Harvest","Sort høst","Danish","Anders Refn","Not nominated",NA,NA,"/w"
"Finland","Ripa Hits the Skids","Ripa ruostuu","Finnish","Christian Lindblad","Not nominated",NA,NA,"/w"
"France","Germinal","Germinal","French","Claude Berri","Not nominated[9]",NA,NA,"/w"
"Germany","Justiz","Justiz","German","Hans W. Geißendörfer","Not nominated[10]",NA,NA,"/w"
"Hong Kong","Farewell My Concubine","霸王別姬","Mandarin Chinese","Chen Kaige","Nominated[9]",NA,NA,"/w"
"Hungary","We Never Die","Sose halunk meg","Hungarian","Róbert Koltai","Not nominated",NA,NA,"/w"
"Iceland","The Sacred Mound","Hin helgu vé","Icelandic","Hrafn Gunnlaugsson","Not nominated[11]",NA,NA,"/w"
"India","Rudaali","रुदाली","Hindi","Kalpana Lajmi","Not nominated[12][13]",NA,NA,"/w"
"Israel","Revenge of Itzik Finkelstein","נקמתו של איציק פינקלשטיין","Hebrew","Enrique Rottenberg","Not nominated",NA,NA,"/w"
"Italy","The Great Pumpkin","Il grande cocomero","Italian","Francesca Archibugi","Not nominated[14]",NA,NA,"/w"
"Japan","Madadayo","まあだだよ","Japanese","Akira Kurosawa","Not nominated[9]",NA,NA,"/w"
"Mexico","Cronos","Cronos","Spanish","Guillermo del Toro","Not nominated[9]",NA,NA,"/w"
"Netherlands","Little Blond Death","De Kleine blonde dood","Dutch","Jean van de Velde","Not nominated[15]",NA,NA,"/w"
"Norway","The Telegraphist","Telegrafisten","Norwegian","Erik Gustavson","Not nominated[16]",NA,NA,"/w"
"Peru","Report on Death","Reportaje a la muerte","Spanish","Danny Gavidia","Not nominated[17]",NA,NA,"/w"
"Poland","Squadron","Szwadron","Polish","Juliusz Machulski","Not nominated[18]",NA,NA,"/w"
"Portugal","Abraham's Valley","Vale Abraão","Polish","Manoel de Oliveira","Not nominated",NA,NA,"/w"
"Romania","The Conjugal Bed","Patul conjugal","Romanian","Mircea Daneliuc","Not nominated",NA,NA,"/w"
"Slovakia","Everything I Like","Všetko čo mám rád","Slovak","Martin Šulík","Not nominated[9]",NA,NA,"/w"
"Slovenia","When I Close My Eyes","Ko zaprem oči","Slovene","Franci Slak","Not nominated[9]",NA,NA,"/w"
"Spain","Belle Époque","Belle Époque","Spanish","Fernando Trueba","Won Academy Award[9]",NA,NA,"/w"
"Sweden","The Slingshot","Kådisbellan","Swedish","Åke Sandgren","Not nominated[9]",NA,NA,"/w"
"Switzerland","The Diary of Lady M","Le journal de Lady M","French","Alain Tanner","Not nominated",NA,NA,"/w"
"Taiwan","The Wedding Banquet","喜宴","Mandarin Chinese, English","Ang Lee","Nominated [9]",NA,NA,"/w"
"Turkey","The Blue Exile","Mavi Surgun","Turkish","Erden Kıral","Not nominated",NA,NA,"/w"
"United Kingdom","Hedd Wyn","Hedd Wyn","Welsh, English","Paul Turner","Nominated[9]",NA,NA,"/w"
"Vietnam","The Scent of Green Papaya","Mùi du du xanh","Vietnamese","Tran Anh Hung","Nominated[9]",NA,NA,"/w"
"Algeria","Autumn: October in Algiers","Automne... Octobre à Alger","Arabic","Malik Lakhdar-Hamina","Not nominated",NA,NA,"/w"
"Argentina","A Shadow You Soon Will Be","Una Sombra ya pronto serás","Spanish","Héctor Olivera","Not nominated",NA,NA,"/w"
"Austria","I Promise","Ich Gelobe","German","Wolfgang Murnberger","Not nominated",NA,NA,"/w"
"Belarus","Me Ivan, You Abraham","Ya - Ivan, Ty - Abram","Yiddish, Polish, Russian","Yolande Zauberman","Not nominated",NA,NA,"/w"
"Belgium","Farinelli","Farinelli, Il Castrato","French, Italian","Gérard Corbiau","Nominated",NA,NA,"/w"
"Bosnia and Herzegovina","The Awkward Age","Magarece godine","Serbo-Croatian","Nenad Dizdarević","Not nominated",NA,NA,"/w"
"Cambodia","Rice People","Neak sre","Khmer","Rithy Panh","Not nominated",NA,NA,"/w"
"Canada","Mon Amie Max","Mon Amie Max","French","Michel Brault","Not nominated",NA,NA,"/w"
"Chile","Amnesia","Amnesia","Spanish","Gonzalo Justiniano","Not nominated",NA,NA,"/w"
"Colombia","The Strategy of the Snail","La Estrategia del caracol","Spanish","Sergio Cabrera","Not nominated",NA,NA,"/w"
"Croatia","Vukovar: The Way Home","Vukovar se vraca kuci","Serbo-Croatian","Branko Schmidt","Not nominated",NA,NA,"/w"
"Cuba","Strawberry and Chocolate","Fresa y Chocolate","Spanish","Tomás Gutiérrez Alea & Juan Carlos Tabío","Nominated",NA,NA,"/w"
"Czech Republic","Lesson Faust","Faust","Czech","Jan Švankmajer","Not nominated",NA,NA,"/w"
"Denmark","Carl, My Childhood Symphony","Min fynske barndom","Danish","Erik Clausen","Not nominated",NA,NA,"/w"
"Egypt","Land of Dreams","أرض الأحلام","Arabic","Daoud Abdel Sayed","Not nominated",NA,NA,"/w"
"France","Wild Reeds","Les Roseaux Sauvages","French","André Téchiné","Not nominated",NA,NA,"/w"
"Germany","The Promise","Das Versprechen","German","Margarethe von Trotta","Not nominated",NA,NA,"/w"
"Guatemala","The Silence of Neto","El Silencio de Neto","Spanish","Luis Argueta","Not nominated",NA,NA,"/w"
"Hong Kong","The Day the Sun Turned Cold","天国逆子","Mandarin","Yim Ho","Not nominated",NA,NA,"/w"
"Hungary","Woyzeck","Woyzeck","Hungarian","János Szász","Not nominated",NA,NA,"/w"
"Iceland","Movie Days","Bíódagar","Icelandic","Friðrik Þór Friðriksson","Not nominated",NA,NA,"/w"
"India","Bandit Queen","बैन्डिट क्वीन","Hindi","Shekhar Kapur","Not nominated",NA,NA,"/w"
"Iran","Through the Olive Trees","زیر درختان زیتون","Persian","Abbas Kiarostami","Not nominated",NA,NA,"/w"
"Israel","Sh'Chur","שחור","Hebrew","Shmuel Hasfari","Not nominated",NA,NA,"/w"
"Italy","Lamerica","Lamerica","Italian, Albanian","Gianni Amelio","Not nominated",NA,NA,"/w"
"Japan","The Raccoon War","平成狸合戦ぽんぽこ","Japanese","Isao Takahata","Not nominated",NA,NA,"/w"
"South Korea","Life and Death of the Hollywood Kid","헐리우드 키드의 생애","Korean","Chung Ji-young","Not nominated",NA,NA,"/w"
"Former Yugoslav Republic of Macedonia","Before the Rain","Пред дождот","Macedonian, Albanian, English","Milcho Manchevski","Nominated",NA,NA,"/w"
"Mexico","The Beginning and the End","Principio y fin","Spanish","Arturo Ripstein","Not nominated",NA,NA,"/w"
"Netherlands","06","06","Dutch","Theo van Gogh","Not nominated",NA,NA,"/w"
"Norway","Cross My Heart and Hope to Die","Ti kniver i hjertet","Norwegian","Marius Holst","Not nominated",NA,NA,"/w"
"Peru","Without Compassion","Sin compasión","Spanish","Francisco José Lombardi","Not nominated",NA,NA,"/w"
"Poland","Three Colors: White","Trzy kolory. Biały","Polish, French","Krzysztof Kieślowski","Not nominated",NA,NA,"/w"
"Portugal","Three Palm Trees","Três Palmeiras","Portuguese","João Botelho","Not nominated",NA,NA,"/w"
"Puerto Rico","Linda Sara","Linda Sara","Spanish","Jacobo Morales","Not nominated",NA,NA,"/w"
"Romania","Pepe & Fifi","Pepe și Fifi","Romanian","Dan Pița","Not nominated",NA,NA,"/w"
"Russia","Burnt by the Sun","Утомлённые солнцем","Russian","Nikita Mikhalkov","Won Academy Award",NA,NA,"/w"
"Serbia","Vukovar Poste Restante","Вуковар, једна прича","Serbo-Croatian","Boro Drašković","Not nominated",NA,NA,"/w"
"Slovakia","Angel of Mercy","Andel milosrdenství","Czech, Slovak","Miloslav Luther","Not nominated",NA,NA,"/w"
"Slovenia","Morana","Morana","Slovene","Aleš Verbič","Not nominated",NA,NA,"/w"
"Spain","Cradle Song","Canción de cuna","Spanish","José Luis Garci","Not nominated",NA,NA,"/w"
"Sweden","The Last Dance","Sista Dansen","Swedish","Colin Nutley","Not nominated",NA,NA,"/w"
"Switzerland","Three Colors: Red","Trois Couleurs: Rouge","French","Krzysztof Kieślowski","Disqualified[4]",NA,NA,"/w"
"Taiwan","Eat Drink Man Woman","飲食男女","Mandarin","Ang Lee","Nominated",NA,NA,"/w"
"Turkey","Tarzan of Manisa","Manisa Tarzanı","Turkish","Orhan Oğuz","Not nominated",NA,NA,"/w"
"Venezuela","Knocks at My Door","Golpes a mi puerta","Spanish","Alejandro Saderman","Not nominated",NA,NA,"/w"
"Algeria","Dust of Life","Poussières de vie","Vietnamese, French","Rachid Bouchareb","Nominated",NA,NA,"/w"
"Argentina","Wild Horses","Caballos salvajes","Spanish","Marcelo Piñeyro","Not nominated",NA,NA,"/w"
"Austria","Ant Street","Die Ameisenstraße","German","Michael Glawogger","Not nominated",NA,NA,"/w"
"Belgium","Mannekin Pis","Mannekin Pis","Dutch","Frank Van Passel","Not nominated",NA,NA,"/w"
"Bolivia","Jonah and the Pink Whale","Jonás y la ballena rosada","Spanish","Juan Carlos Valdivia","Not nominated",NA,NA,"/w"
"Brazil","O Quatrilho","O Quatrilho","Italian","Fábio Barreto","Nominated",NA,NA,"/w"
"Canada","Le Confessionnal","Le Confessional","French","Robert Lepage","Not nominated",NA,NA,"/w"
"China","Red Cherry","红樱桃","Mandarin Chinese, Russian, German","Daying Ye","Not nominated",NA,NA,"/w"
"Croatia","Washed Out","Isprani","Croatian","Zrinko Ogresta","Not nominated",NA,NA,"/w"
"Czech Republic","Thanks for Every New Morning","Díky za kazdé nové ráno","Czech, Ukrainian","Milan Šteindler","Not nominated",NA,NA,"/w"
"Dominican Republic","Nueba Yol","Nueba Yol","Spanish","Ángel Muñiz","Not nominated",NA,NA,"/w"
"Finland","The Last Wedding","Kivenpyörittäjän kylä","Finnish","Markku Pölönen","Not nominated",NA,NA,"/w"
"France","French Twist","Gazon Maudit","French","Josiane Balasko","Not nominated",NA,NA,"/w"
"Germany","Brother of Sleep","Schlafes Bruder","German","Joseph Vilsmaier","Not nominated",NA,NA,"/w"
"Greece","Ulysses' Gaze","Το Βλέμμα του Οδυσσέα","Greek, English","Theo Angelopoulos","Not nominated",NA,NA,"/w"
"Hong Kong","Summer Snow","女人，四十","Cantonese","Ann Hui","Not nominated",NA,NA,"/w"
"Hungary","The Outpost","A részleg","Hungarian","Péter Gothár","Not nominated",NA,NA,"/w"
"Iceland","Tears of Stone","Tár úr steini","Icelandic, German","Hilmar Oddsson","Not nominated",NA,NA,"/w"
"India","Kuruthipunal","குருதிபுனல்","Tamil","P. C. Sreeram","Not nominated",NA,NA,"/w"
"Iran","The White Balloon","بادکنک سفید-","Persian","Jafar Panahi","Not nominated",NA,NA,"/w"
"Israel","Lovesick on Nana Street","חולה אהבה בשיכון גימל","Hebrew","Savi Gabizon","Not nominated",NA,NA,"/w"
"Italy","The Star Maker","L'Uomo delle stelle","Italian","Giuseppe Tornatore","Nominated",NA,NA,"/w"
"Japan","Deep River","深い川","Japanese","Kei Kumai","Not nominated",NA,NA,"/w"
"Mexico","Midaq Alley","El Callejón de los milagros","Spanish","Jorge Fons","Not nominated",NA,NA,"/w"
"Netherlands","Antonia's Line","Antonia","Dutch","Marleen Gorris","Won Academy Award",NA,NA,"/w"
"Norway","Kristin Lavransdatter","Kristin Lavransdatter","Norwegian","Liv Ullmann","Not nominated",NA,NA,"/w"
"Philippines","Harvest Home","Inagaw mo ang lahat sa akin","Filipino","Carlos Siguion-Reyna","Not nominated",NA,NA,"/w"
"Poland","Crows","Wrony","Polish","Dorota Kędzierzawska","Not nominated",NA,NA,"/w"
