"ItemTitle","IMDBid","ItemYear","ItemRuntime","Rating","Rated.Date","Decade","Seen","Service","Type"
"Cabaret","tt0068327",1972,"124 min","9","Rated on 09 Jul 2021","1970s","Yes",NA,NA
"Network","tt0074958",1976,"121 min",NA,NA,"1970s","No",NA,NA
"The African Queen","tt0043265",1951,"105 min","8","Rated on 09 Jul 2021","1950s","Yes","Prime","Feature Film"
"Indiana Jones and the Raiders of the Lost Ark","tt0082971",1981,"115 min","9","Rated on 09 Jul 2021","1980s","Yes",NA,NA
"Who's Afraid of Virginia Woolf?","tt0061184",1966,"131 min",NA,NA,"1960s","No",NA,NA
"Unforgiven","tt0105695",1992,"130 min",NA,NA,"1990s","No",NA,NA
"Tootsie","tt0084805",1982,"116 min",NA,NA,"1980s","No",NA,NA
"A Clockwork Orange","tt0066921",1971,"136 min","10","Rated on 09 Jul 2021","1970s","Yes",NA,NA
"Saving Private Ryan","tt0120815",1998,"169 min","9","Rated on 09 Jul 2021","1990s","Yes","Prime","Feature Film"
"The Shawshank Redemption","tt0111161",1994,"142 min","8","Rated on 09 Jul 2021","1990s","Yes",NA,NA
"Butch Cassidy and the Sundance Kid","tt0064115",1969,"110 min","8","Rated on 09 Jul 2021","1960s","Yes",NA,NA
"The Silence of the Lambs","tt0102926",1991,"118 min","9","Rated on 09 Jul 2021","1990s","Yes","Prime","Feature Film"
"In the Heat of the Night","tt0061811",1967,"110 min",NA,NA,"1960s","No",NA,NA
"Forrest Gump","tt0109830",1994,"142 min","8","Rated on 09 Jul 2021","1990s","Yes",NA,NA
"All the President's Men","tt0074119",1976,"138 min","8","Rated on 09 Jul 2021","1970s","Yes",NA,NA
"Modern Times","tt0027977",1936,"87 min",NA,NA,"1930s","No",NA,NA
"The Wild Bunch","tt0065214",1969,"135 min",NA,NA,"1960s","No",NA,NA
"The Apartment","tt0053604",1960,"125 min","8","Rated on 09 Jul 2021","1960s","Yes",NA,NA
"Spartacus","tt0054331",1960,"197 min","8","Rated on 09 Jul 2021","1960s","Yes",NA,NA
"Sunrise","tt0018455",1927,"94 min",NA,NA,"1920s","No",NA,NA
"Titanic","tt0120338",1997,"194 min","7","Rated on 09 Jul 2021","1990s","Yes",NA,NA
"Easy Rider","tt0064276",1969,"95 min",NA,NA,"1960s","No",NA,NA
"A Night at the Opera","tt0026778",1935,"96 min",NA,NA,"1930s","No",NA,NA
"Platoon","tt0091763",1986,"120 min","7","Rated on 14 Oct 2021","1980s","Yes",NA,NA
"12 Angry Men","tt0050083",1957,"96 min","9","Rated on 09 Jul 2021","1950s","Yes","Prime","Feature Film"
"Bringing Up Baby","tt0029947",1938,"102 min","8","Rated on 09 Jul 2021","1930s","Yes",NA,NA
"The Sixth Sense","tt0167404",1999,"107 min","8","Rated on 14 Jul 2021","1990s","Yes",NA,NA
"Swing Time","tt0028333",1936,"103 min",NA,NA,"1930s","No",NA,NA
"Sophie's Choice","tt0084707",1982,"150 min",NA,NA,"1980s","No",NA,NA
"Goodfellas","tt0099685",1990,"146 min","9","Rated on 07 Aug 2021","1990s","Yes",NA,NA
"The French Connection","tt0067116",1971,"104 min",NA,NA,"1970s","No",NA,NA
"Pulp Fiction","tt0110912",1994,"154 min","8","Rated on 09 Jul 2021","1990s","Yes",NA,NA
"The Last Picture Show","tt0067328",1971,"118 min",NA,NA,"1970s","No",NA,NA
"Do the Right Thing","tt0097216",1989,"120 min",NA,NA,"1980s","No","Prime","Feature Film"
"Blade Runner","tt0083658",1982,"117 min","9","Rated on 14 Jul 2021","1980s","Yes",NA,NA
"Yankee Doodle Dandy","tt0035575",1942,"126 min",NA,NA,"1940s","No",NA,NA
"Toy Story","tt0114709",1995,"81 min","9","Rated on 09 Jul 2021","1990s","Yes",NA,NA
"Ben-Hur","tt0052618",1959,"212 min","8","Rated on 09 Jul 2021","1950s","Yes",NA,NA
